CustomerID	Age	Gender	Tenure	Usage Frequency	Support Calls	Payment Delay	Subscription Type	Contract Length	Total Spend	Last Interaction	Churn
40	42	Male	51	10	9	11	Basic	Monthly	820	17	0
41	29	Female	28	23	7	16	Basic	Quarterly	1000	26	1
42	36	Male	45	24	5	2	Premium	Quarterly	405	4	0
43	61	Male	19	2	7	2	Premium	Monthly	879	4	1
44	57	Male	2	26	5	14	Premium	Monthly	771	4	0
45	56	Male	9	16	1	22	Premium	Monthly	600	17	0
46	42	Female	14	14	8	12	Basic	Monthly	825	19	0
47	36	Female	24	21	8	29	Basic	Monthly	231	8	1
48	37	Male	13	26	2	26	Basic	Quarterly	259	15	0
49	51	Female	15	26	10	25	Basic	Quarterly	244	1	1
50	57	Female	46	30	2	21	Standard	Annual	705	5	0
51	47	Female	47	4	7	3	Standard	Monthly	136	14	0
52	29	Male	3	5	0	23	Standard	Monthly	843	6	0
53	45	Female	17	4	5	23	Standard	Annual	402	8	1
54	18	Female	22	21	3	30	Premium	Annual	919	3	0
55	27	Male	57	4	10	20	Premium	Annual	699	4	1
56	23	Male	34	20	3	26	Basic	Annual	733	1	0
57	60	Male	24	11	9	10	Standard	Monthly	563	10	0
58	57	Male	24	28	3	24	Premium	Annual	448	12	0
59	28	Female	29	3	2	21	Premium	Quarterly	172	2	1
60	64	Female	39	25	2	9	Standard	Quarterly	933	9	0
61	30	Male	57	21	8	24	Standard	Annual	576	6	1
62	18	Female	57	16	10	2	Basic	Quarterly	657	26	0
63	24	Male	13	25	9	27	Premium	Quarterly	843	29	0
64	40	Male	54	7	0	15	Standard	Annual	731	27	0
65	26	Female	33	27	1	23	Basic	Quarterly	665	5	0
66	41	Male	35	4	6	16	Standard	Annual	546	26	1
67	64	Female	19	27	2	0	Basic	Monthly	579	14	0
68	42	Male	34	2	7	17	Premium	Annual	757	25	1
69	24	Male	28	13	0	27	Premium	Quarterly	515	27	0
70	52	Female	56	8	9	21	Premium	Annual	599	20	1
71	48	Male	57	29	1	19	Standard	Monthly	554	12	0
72	28	Female	34	20	1	1	Basic	Annual	986	19	0
73	52	Female	5	12	5	23	Basic	Annual	844	12	0
74	52	Female	37	26	5	29	Standard	Annual	668	3	1
75	56	Female	55	15	10	3	Standard	Annual	867	26	0
76	64	Male	48	9	7	26	Premium	Annual	471	11	1
77	41	Male	59	30	5	26	Basic	Annual	628	11	1
78	48	Female	47	12	0	29	Basic	Monthly	761	8	1
79	22	Male	39	10	3	29	Standard	Monthly	599	13	0
80	42	Female	19	25	5	13	Premium	Monthly	372	8	0
81	55	Female	54	26	0	9	Premium	Annual	213	13	0
82	43	Female	6	16	6	21	Basic	Monthly	996	17	1
83	34	Male	26	22	8	9	Premium	Monthly	403	3	0
84	27	Male	42	22	3	27	Basic	Monthly	468	25	0
85	19	Female	59	24	3	26	Basic	Quarterly	368	8	1
86	58	Male	59	10	5	8	Basic	Monthly	599	25	0
87	22	Female	39	9	2	13	Basic	Quarterly	759	1	0
88	22	Male	25	10	10	17	Premium	Monthly	966	7	1
89	61	Female	28	9	6	5	Standard	Monthly	784	7	0
90	28	Male	17	19	10	12	Premium	Quarterly	332	24	0
91	33	Male	36	18	0	24	Premium	Annual	364	1	0
92	37	Female	57	21	6	6	Premium	Quarterly	209	29	0
93	65	Female	6	21	1	2	Premium	Quarterly	428	29	0
94	22	Male	51	27	9	23	Standard	Annual	347	11	1
95	42	Male	37	14	0	24	Premium	Annual	418	13	0
96	36	Female	42	18	8	6	Premium	Quarterly	322	10	0
97	20	Male	32	7	5	14	Basic	Annual	920	28	0
98	58	Male	21	28	10	2	Basic	Annual	894	28	0
99	65	Male	21	3	5	20	Standard	Quarterly	570	1	1
100	40	Male	6	26	10	0	Basic	Annual	632	5	0
101	52	Female	45	20	6	28	Standard	Monthly	442	10	1
102	35	Male	47	23	4	8	Standard	Annual	969	7	0
103	62	Female	16	13	9	15	Standard	Quarterly	719	19	0
104	41	Male	20	27	4	13	Basic	Monthly	941	18	0
105	36	Male	10	22	9	0	Standard	Quarterly	218	7	0
106	39	Male	59	29	5	7	Basic	Annual	225	27	0
107	62	Male	10	9	1	18	Standard	Quarterly	345	27	0
108	55	Male	22	15	1	19	Standard	Quarterly	769	30	0
109	44	Female	54	20	1	9	Basic	Quarterly	717	9	0
110	39	Female	7	30	3	5	Basic	Monthly	199	13	0
111	30	Male	57	20	8	26	Premium	Monthly	821	8	1
112	41	Male	8	11	9	24	Premium	Monthly	900	14	0
113	56	Male	56	3	3	12	Standard	Monthly	175	11	0
114	24	Male	10	3	8	13	Basic	Annual	317	3	0
115	28	Female	43	30	7	5	Basic	Monthly	600	11	0
116	46	Female	43	10	0	10	Basic	Quarterly	779	23	0
117	18	Male	36	18	7	14	Standard	Monthly	635	19	0
118	34	Male	28	7	8	7	Premium	Monthly	524	1	0
119	39	Male	13	27	6	21	Basic	Quarterly	382	16	0
120	32	Female	3	12	8	8	Basic	Quarterly	990	21	0
121	35	Female	47	2	8	21	Basic	Monthly	532	7	1
122	40	Male	28	4	0	21	Basic	Annual	377	7	0
123	44	Male	13	26	3	3	Basic	Monthly	486	25	0
124	52	Female	50	10	2	26	Basic	Quarterly	640	3	0
125	40	Female	35	15	6	20	Basic	Annual	104	27	1
126	41	Male	58	27	1	3	Premium	Annual	392	3	0
127	30	Female	23	29	1	22	Standard	Annual	255	24	1
128	64	Female	36	17	4	15	Standard	Monthly	237	5	0
129	43	Female	52	13	10	14	Standard	Quarterly	555	11	0
130	31	Female	36	23	2	5	Premium	Annual	444	2	0
131	61	Male	6	15	2	30	Premium	Annual	630	18	0
132	56	Female	33	7	0	22	Premium	Monthly	664	27	1
133	57	Male	37	15	4	10	Basic	Monthly	186	9	0
134	41	Female	59	20	0	17	Standard	Quarterly	978	11	0
135	46	Male	47	14	10	16	Basic	Annual	996	16	1
136	65	Female	26	17	10	25	Basic	Annual	254	1	1
137	25	Male	27	15	2	15	Basic	Quarterly	123	19	0
138	43	Male	37	11	3	23	Standard	Annual	377	9	0
139	65	Male	13	4	3	12	Basic	Monthly	921	3	0
140	25	Female	58	7	5	9	Basic	Annual	920	22	0
141	45	Male	56	29	0	24	Standard	Annual	335	18	0
142	20	Male	59	10	5	5	Premium	Quarterly	803	15	0
143	38	Male	10	9	1	30	Premium	Annual	888	28	0
144	43	Female	16	20	10	26	Basic	Annual	712	2	0
145	24	Male	8	12	9	15	Basic	Annual	257	18	0
146	56	Female	2	20	6	17	Basic	Quarterly	355	12	0
147	61	Male	58	24	9	5	Premium	Monthly	201	20	0
148	38	Female	16	13	2	28	Premium	Annual	133	24	1
149	39	Male	24	6	5	28	Premium	Quarterly	910	22	1
150	29	Male	42	8	8	21	Premium	Quarterly	419	27	1
151	31	Male	20	12	1	7	Premium	Annual	115	7	0
152	25	Male	22	5	5	29	Basic	Monthly	121	20	0
153	62	Male	22	30	9	21	Basic	Annual	736	24	0
154	64	Male	13	16	10	18	Standard	Annual	934	11	0
155	57	Female	7	27	7	23	Standard	Annual	640	1	0
156	48	Male	41	25	10	1	Standard	Annual	119	13	0
157	21	Male	3	8	5	15	Premium	Quarterly	994	25	0
158	26	Female	16	10	0	14	Standard	Annual	411	19	0
159	63	Male	36	21	8	0	Premium	Annual	817	22	0
160	28	Male	14	5	3	4	Premium	Monthly	200	7	0
161	36	Male	51	1	0	7	Premium	Annual	837	16	0
162	31	Male	34	23	5	12	Standard	Quarterly	164	2	0
163	64	Female	46	2	1	12	Basic	Quarterly	413	12	0
164	49	Female	53	16	5	3	Standard	Annual	423	15	0
165	58	Female	54	18	1	29	Premium	Quarterly	235	29	1
166	51	Male	6	22	7	23	Premium	Quarterly	862	3	0
167	62	Female	10	11	5	1	Standard	Quarterly	775	6	0
168	41	Female	55	17	10	12	Premium	Monthly	259	22	0
169	22	Female	59	9	4	9	Basic	Monthly	581	4	0
170	56	Male	52	27	5	13	Standard	Annual	796	25	0
171	59	Female	20	8	10	3	Standard	Annual	317	20	0
172	51	Female	6	1	9	18	Standard	Quarterly	354	12	1
173	57	Male	5	13	7	3	Basic	Quarterly	821	16	0
174	56	Female	36	4	4	21	Premium	Quarterly	946	30	1
175	23	Male	42	23	6	24	Standard	Monthly	838	6	1
176	33	Female	52	26	0	10	Standard	Quarterly	136	4	0
177	29	Male	31	30	8	24	Premium	Quarterly	150	11	1
178	49	Male	40	11	4	17	Premium	Monthly	546	7	0
179	25	Female	28	8	4	23	Premium	Monthly	716	1	1
180	37	Male	1	7	4	22	Standard	Annual	699	15	0
181	45	Male	40	10	10	28	Premium	Annual	912	8	1
182	53	Male	13	11	9	14	Basic	Annual	350	9	0
183	33	Female	60	24	10	18	Premium	Monthly	423	24	1
184	20	Male	5	22	8	0	Premium	Monthly	973	25	0
185	62	Male	26	18	1	16	Standard	Annual	683	12	0
186	37	Male	55	8	8	4	Standard	Monthly	561	16	0
187	51	Male	38	21	4	5	Basic	Quarterly	203	26	0
188	21	Female	41	13	8	22	Premium	Monthly	538	18	1
189	64	Male	60	25	5	8	Premium	Annual	720	24	0
190	41	Male	50	15	6	1	Standard	Annual	588	10	0
191	44	Male	44	30	0	26	Standard	Monthly	656	6	0
192	20	Male	4	26	8	12	Standard	Annual	733	4	0
193	18	Male	28	12	3	20	Standard	Monthly	261	13	0
194	41	Female	58	24	9	16	Standard	Annual	447	20	1
195	50	Male	46	2	4	28	Premium	Annual	527	19	0
196	59	Male	41	29	3	1	Basic	Quarterly	833	5	0
197	39	Male	29	25	4	2	Standard	Quarterly	254	20	0
198	19	Male	17	11	6	24	Standard	Quarterly	715	15	0
199	29	Female	56	21	3	26	Basic	Quarterly	239	29	1
200	45	Female	20	1	4	15	Standard	Monthly	224	13	0
201	36	Male	24	29	1	26	Premium	Monthly	566	8	0
202	20	Female	9	27	5	16	Standard	Annual	295	21	0
203	30	Female	44	22	4	18	Standard	Quarterly	890	12	0
204	33	Male	5	25	1	26	Standard	Annual	821	27	0
205	27	Male	29	30	4	3	Basic	Annual	258	18	0
206	36	Female	26	7	2	3	Basic	Annual	371	8	0
207	33	Male	35	29	9	18	Basic	Monthly	335	8	1
208	18	Male	33	18	1	22	Basic	Annual	312	29	0
209	64	Male	13	20	0	22	Standard	Quarterly	749	14	0
210	48	Male	36	19	1	13	Premium	Annual	140	28	0
211	57	Female	15	4	5	30	Standard	Quarterly	960	21	1
212	28	Female	22	5	1	2	Premium	Quarterly	838	10	0
213	28	Male	56	7	2	25	Basic	Monthly	854	26	0
214	22	Female	45	29	8	7	Standard	Monthly	344	17	0
215	56	Male	11	10	10	10	Basic	Annual	841	26	0
216	23	Female	31	15	6	11	Basic	Quarterly	705	24	0
217	59	Male	44	7	8	9	Standard	Annual	890	26	0
218	46	Male	27	25	6	8	Basic	Monthly	150	28	0
219	56	Male	8	11	10	12	Premium	Quarterly	866	15	0
220	37	Female	25	19	8	26	Standard	Monthly	212	13	1
221	36	Male	46	5	2	11	Premium	Quarterly	524	6	0
222	59	Male	36	16	4	26	Standard	Annual	894	29	0
223	56	Female	15	19	3	2	Standard	Quarterly	650	3	0
224	51	Female	32	20	2	24	Standard	Quarterly	505	21	0
225	38	Female	29	18	4	16	Standard	Annual	909	24	0
226	20	Male	60	29	7	22	Standard	Quarterly	298	23	1
227	60	Female	16	24	6	21	Basic	Monthly	725	14	1
228	49	Male	59	9	2	18	Premium	Annual	733	18	0
229	20	Female	55	25	1	26	Premium	Quarterly	382	8	1
230	58	Female	29	20	0	20	Standard	Quarterly	126	9	0
231	27	Male	50	1	10	30	Standard	Annual	736	4	1
232	20	Female	29	5	4	17	Basic	Annual	584	26	0
233	63	Male	46	2	4	9	Basic	Quarterly	969	30	1
234	47	Female	33	5	4	23	Premium	Quarterly	393	14	1
235	63	Male	18	15	3	27	Premium	Annual	722	26	0
236	62	Male	51	9	2	0	Premium	Monthly	654	16	0
237	46	Female	35	29	8	5	Standard	Monthly	805	2	0
238	49	Female	33	23	3	21	Premium	Annual	230	23	1
239	46	Female	52	26	5	27	Basic	Monthly	403	14	1
240	64	Female	11	7	1	8	Basic	Annual	984	14	0
241	60	Male	13	17	7	19	Basic	Monthly	849	26	0
242	54	Male	44	24	1	16	Premium	Annual	664	3	0
243	47	Female	52	3	6	1	Premium	Quarterly	408	7	0
244	37	Male	55	28	4	26	Basic	Monthly	826	17	0
245	19	Female	1	13	6	9	Basic	Monthly	302	3	0
246	52	Female	33	14	8	2	Standard	Quarterly	846	11	0
247	62	Male	5	18	6	14	Standard	Annual	205	22	0
248	48	Male	54	15	7	18	Standard	Quarterly	131	11	1
249	60	Male	18	27	1	30	Standard	Annual	426	30	0
250	58	Male	15	2	1	13	Premium	Annual	309	23	0
251	43	Male	31	8	7	28	Premium	Monthly	313	10	1
252	26	Male	41	27	8	15	Premium	Monthly	889	6	0
253	41	Female	45	21	5	18	Basic	Quarterly	799	7	1
254	22	Male	47	15	10	24	Premium	Annual	237	17	1
255	45	Male	14	20	1	13	Basic	Quarterly	828	11	0
256	38	Male	59	30	1	28	Premium	Quarterly	481	28	0
257	28	Male	49	22	6	29	Standard	Quarterly	187	13	1
258	56	Male	22	21	5	13	Premium	Monthly	632	22	0
259	42	Female	17	14	6	22	Standard	Annual	207	10	1
260	20	Female	59	19	0	10	Premium	Quarterly	366	22	0
261	62	Male	52	1	4	22	Standard	Monthly	153	26	1
262	22	Female	37	6	8	17	Basic	Quarterly	212	12	1
263	30	Female	46	18	4	13	Standard	Quarterly	300	21	0
264	30	Female	55	27	6	11	Standard	Monthly	662	28	0
265	44	Male	21	18	4	27	Basic	Quarterly	388	12	0
266	58	Male	38	26	0	27	Premium	Annual	874	12	0
267	59	Male	41	18	6	18	Standard	Annual	971	12	1
268	65	Male	55	10	5	18	Premium	Quarterly	689	6	1
269	30	Female	42	15	8	8	Premium	Monthly	280	20	0
270	28	Female	35	19	2	2	Premium	Monthly	506	22	0
271	58	Male	39	16	0	8	Basic	Monthly	690	17	0
272	63	Female	56	28	1	17	Basic	Quarterly	821	7	0
273	62	Female	35	8	7	8	Basic	Annual	514	17	0
274	32	Female	47	20	0	8	Premium	Monthly	885	9	0
275	20	Male	19	10	5	11	Basic	Quarterly	644	8	0
276	28	Female	28	9	5	9	Premium	Monthly	628	18	0
277	19	Male	54	27	6	30	Standard	Quarterly	131	20	1
278	24	Female	48	29	10	30	Premium	Monthly	278	26	1
279	43	Male	28	4	10	9	Premium	Annual	280	15	0
280	38	Female	13	13	6	27	Standard	Quarterly	466	14	1
281	52	Female	26	28	3	6	Standard	Quarterly	953	5	0
282	25	Male	4	14	5	16	Premium	Annual	465	17	0
283	37	Male	10	22	2	3	Premium	Annual	292	6	0
284	56	Male	35	15	4	18	Standard	Monthly	940	1	0
285	55	Female	28	11	0	21	Premium	Monthly	741	4	1
286	41	Female	14	18	10	15	Basic	Annual	380	7	0
287	61	Male	46	5	2	3	Premium	Annual	501	21	0
288	20	Female	50	8	2	30	Basic	Annual	407	29	1
289	40	Male	5	1	3	21	Standard	Annual	101	12	1
290	19	Male	40	22	0	24	Premium	Quarterly	212	20	0
291	44	Male	34	30	4	28	Standard	Quarterly	654	26	0
292	24	Female	8	7	8	29	Premium	Annual	226	4	1
293	28	Female	1	4	6	1	Premium	Annual	337	6	0
294	41	Male	35	8	3	28	Standard	Annual	163	8	0
295	20	Female	56	12	5	14	Basic	Quarterly	837	9	0
296	52	Male	33	27	0	19	Basic	Monthly	719	18	0
297	47	Male	14	28	4	26	Basic	Quarterly	987	2	0
298	47	Female	23	6	1	17	Basic	Annual	300	27	0
299	18	Female	50	10	6	27	Standard	Monthly	487	18	1
300	37	Male	42	26	5	24	Premium	Quarterly	862	9	1
301	36	Male	38	14	4	7	Basic	Annual	863	7	0
302	48	Female	35	26	3	5	Premium	Quarterly	415	20	0
303	35	Female	21	19	9	11	Basic	Monthly	607	21	0
304	52	Female	9	2	5	3	Premium	Monthly	592	24	1
305	58	Female	42	24	8	3	Standard	Annual	256	17	0
306	62	Male	35	18	4	24	Premium	Quarterly	603	9	0
307	19	Female	26	18	10	18	Standard	Monthly	721	25	1
308	41	Female	49	27	0	5	Standard	Monthly	329	8	0
309	46	Male	12	26	9	3	Basic	Monthly	173	29	0
310	29	Male	24	30	1	7	Standard	Annual	101	30	0
311	24	Male	56	23	3	30	Standard	Quarterly	123	14	0
312	31	Female	16	8	0	1	Basic	Annual	438	23	0
313	49	Male	41	5	10	4	Basic	Annual	532	27	0
314	29	Female	37	16	0	7	Standard	Monthly	845	2	0
315	24	Female	42	17	7	8	Basic	Annual	210	29	0
316	19	Female	29	28	1	21	Basic	Annual	802	17	0
317	55	Male	20	18	5	4	Premium	Quarterly	305	26	0
318	62	Male	3	6	5	0	Standard	Quarterly	808	26	0
319	45	Female	47	19	10	23	Basic	Monthly	464	24	1
320	31	Male	52	7	10	19	Premium	Quarterly	197	3	1
321	59	Female	7	30	4	5	Premium	Quarterly	646	9	0
322	64	Male	51	1	0	22	Basic	Monthly	800	9	0
323	51	Female	57	21	3	11	Premium	Monthly	471	11	0
324	36	Male	15	10	8	0	Standard	Annual	672	2	0
325	23	Female	39	11	2	24	Standard	Monthly	666	25	1
326	61	Male	42	3	2	24	Standard	Monthly	525	25	0
327	25	Female	32	1	0	5	Standard	Annual	404	27	0
328	45	Female	59	11	7	20	Standard	Annual	175	29	1
329	58	Female	60	5	8	17	Premium	Annual	951	13	1
330	59	Male	7	30	10	21	Standard	Annual	285	4	0
331	52	Male	37	17	5	10	Premium	Monthly	476	1	0
332	34	Female	57	9	8	10	Standard	Monthly	603	25	0
333	41	Male	2	22	7	23	Standard	Monthly	681	23	0
334	27	Female	21	24	4	30	Standard	Annual	823	28	0
335	26	Male	54	26	8	27	Basic	Annual	525	30	1
336	63	Female	8	22	5	12	Basic	Annual	582	27	0
337	53	Male	46	5	5	4	Premium	Monthly	977	2	1
338	42	Female	38	18	2	18	Basic	Monthly	808	6	0
339	55	Male	56	30	8	10	Standard	Quarterly	550	17	0
340	23	Female	48	11	8	26	Basic	Monthly	169	15	1
341	36	Female	51	21	6	16	Premium	Monthly	278	27	1
342	44	Female	57	10	8	7	Standard	Monthly	163	17	0
343	45	Male	16	14	3	9	Basic	Monthly	474	14	0
344	29	Male	17	5	7	22	Basic	Annual	446	7	0
345	47	Female	37	20	8	16	Premium	Monthly	641	2	1
346	53	Female	44	21	10	27	Standard	Annual	650	3	1
347	24	Female	3	8	4	8	Premium	Quarterly	647	21	0
348	61	Female	4	29	6	6	Premium	Annual	428	8	0
349	22	Male	59	23	1	6	Premium	Monthly	707	12	0
350	46	Female	42	18	6	5	Premium	Monthly	719	6	0
351	55	Female	29	3	8	4	Basic	Quarterly	918	9	1
352	28	Male	16	15	2	28	Standard	Quarterly	704	23	0
353	28	Male	17	4	5	25	Basic	Annual	519	8	0
354	28	Female	34	28	9	8	Standard	Quarterly	672	27	0
355	30	Male	40	30	7	14	Basic	Monthly	296	25	0
356	35	Female	56	29	6	0	Basic	Quarterly	718	6	0
357	28	Male	2	8	7	16	Basic	Annual	141	8	0
358	27	Female	19	7	2	1	Premium	Monthly	928	12	0
359	60	Female	46	6	1	25	Standard	Monthly	621	2	1
360	22	Male	60	11	2	12	Premium	Monthly	736	1	0
361	51	Female	6	20	7	22	Premium	Monthly	999	3	1
362	49	Female	9	24	6	18	Basic	Quarterly	977	5	0
363	30	Male	41	17	2	14	Basic	Monthly	706	12	0
364	43	Male	33	26	6	0	Premium	Quarterly	593	26	0
365	57	Female	41	7	3	25	Premium	Quarterly	130	18	1
366	56	Female	30	24	7	10	Standard	Monthly	862	7	0
367	62	Female	47	8	10	7	Basic	Annual	107	9	0
368	29	Male	1	1	2	1	Premium	Quarterly	431	8	0
369	50	Female	41	11	7	10	Standard	Monthly	503	24	0
370	54	Female	30	6	1	24	Standard	Monthly	721	16	1
371	55	Female	39	30	6	1	Basic	Annual	795	2	0
372	30	Female	37	28	5	17	Premium	Annual	124	19	1
373	53	Female	45	25	1	11	Standard	Monthly	420	18	0
374	62	Male	14	5	0	8	Standard	Quarterly	197	5	0
375	57	Female	35	15	1	17	Premium	Quarterly	632	19	0
376	25	Female	46	30	7	22	Premium	Quarterly	982	18	1
377	34	Male	17	23	9	28	Standard	Quarterly	421	16	0
378	59	Female	1	11	5	23	Basic	Quarterly	687	9	0
379	35	Male	2	25	3	23	Basic	Monthly	899	29	0
380	24	Male	13	8	5	1	Premium	Quarterly	686	15	0
381	21	Female	45	5	2	10	Basic	Annual	288	11	0
382	50	Female	40	7	2	23	Basic	Annual	928	27	0
383	53	Male	10	17	4	25	Premium	Annual	321	12	0
384	27	Male	39	18	1	11	Basic	Annual	651	27	0
385	23	Male	20	14	3	22	Premium	Annual	924	20	0
386	41	Female	41	15	10	27	Premium	Quarterly	814	19	1
387	54	Male	41	21	2	17	Standard	Monthly	420	21	0
388	57	Female	55	12	4	26	Basic	Monthly	265	8	1
389	46	Male	37	21	9	6	Basic	Monthly	425	21	0
390	52	Female	33	27	0	1	Standard	Monthly	808	10	0
391	24	Male	32	28	5	9	Premium	Monthly	218	2	0
392	45	Male	3	6	1	17	Standard	Annual	418	10	0
393	47	Female	12	18	1	13	Premium	Annual	872	24	0
394	24	Female	14	11	9	6	Basic	Quarterly	693	27	0
395	65	Male	45	2	3	16	Standard	Annual	738	1	0
396	32	Male	52	5	10	7	Premium	Annual	839	10	0
397	39	Female	36	30	7	5	Standard	Quarterly	149	4	0
398	36	Female	28	24	2	24	Premium	Quarterly	136	1	1
399	57	Male	57	7	5	26	Premium	Annual	699	26	1
400	26	Male	19	17	7	23	Premium	Quarterly	870	2	0
401	54	Male	38	24	3	13	Basic	Annual	619	5	0
402	54	Female	46	6	2	15	Basic	Monthly	959	4	0
403	60	Female	12	5	1	17	Basic	Annual	826	7	0
404	45	Female	16	3	0	8	Basic	Monthly	763	24	0
405	21	Male	1	30	4	4	Premium	Annual	642	21	0
406	65	Male	27	17	3	23	Premium	Annual	328	23	0
407	21	Female	41	24	5	10	Basic	Annual	524	13	0
408	63	Female	60	30	0	7	Premium	Annual	494	19	0
409	40	Female	49	5	6	21	Standard	Monthly	292	14	1
410	31	Female	9	11	4	19	Premium	Annual	999	2	0
411	44	Male	45	26	3	1	Standard	Annual	927	9	0
412	33	Female	51	1	5	9	Standard	Quarterly	415	3	0
413	52	Female	56	10	4	5	Standard	Quarterly	444	9	0
414	25	Female	25	30	6	3	Premium	Annual	425	29	0
415	33	Female	16	4	5	21	Premium	Annual	233	21	1
416	18	Male	21	10	7	20	Basic	Monthly	968	18	0
417	63	Female	11	8	1	20	Standard	Annual	534	27	0
418	34	Male	58	29	0	13	Premium	Quarterly	238	29	0
419	31	Male	34	1	9	24	Premium	Annual	190	16	1
420	28	Female	43	23	0	9	Standard	Annual	421	13	0
421	44	Male	29	27	6	2	Standard	Monthly	653	8	0
422	30	Female	30	4	3	8	Basic	Quarterly	536	27	0
423	43	Male	31	3	2	20	Basic	Annual	406	13	0
424	36	Male	24	22	5	25	Standard	Annual	665	20	1
425	18	Male	8	3	7	20	Premium	Quarterly	412	26	0
426	46	Female	43	3	6	19	Basic	Monthly	165	23	1
427	54	Male	18	4	1	22	Basic	Monthly	272	29	0
428	42	Female	52	5	6	30	Standard	Quarterly	271	29	1
429	39	Female	12	28	0	1	Standard	Monthly	233	27	0
430	36	Female	36	24	2	13	Standard	Quarterly	535	1	0
431	19	Female	58	15	9	17	Basic	Monthly	317	2	1
432	50	Male	36	28	7	0	Premium	Annual	775	11	0
433	58	Female	9	19	4	26	Basic	Annual	805	21	0
434	43	Female	29	24	6	4	Premium	Quarterly	675	21	0
435	29	Female	33	2	7	13	Premium	Quarterly	190	9	0
436	20	Male	58	2	5	2	Basic	Quarterly	524	4	0
437	57	Female	34	1	5	20	Premium	Monthly	790	10	1
438	25	Male	47	28	0	22	Premium	Monthly	548	1	0
439	63	Male	23	13	3	19	Premium	Monthly	966	19	0
440	42	Male	25	6	4	6	Basic	Monthly	590	2	0
441	47	Male	1	21	10	21	Basic	Quarterly	271	21	0
442	50	Male	7	15	10	6	Basic	Quarterly	921	14	0
443	23	Male	7	27	8	18	Standard	Annual	776	16	0
444	37	Male	9	10	7	28	Basic	Annual	383	5	0
445	18	Female	1	21	8	17	Standard	Annual	360	28	0
446	64	Male	45	26	2	20	Premium	Quarterly	676	11	0
447	20	Female	6	21	8	26	Premium	Annual	948	3	0
448	22	Male	33	5	1	0	Premium	Quarterly	982	13	0
449	59	Female	44	6	10	26	Standard	Monthly	291	15	1
450	27	Female	21	4	10	21	Standard	Annual	900	4	0
451	24	Female	27	15	2	6	Standard	Quarterly	907	9	0
452	29	Male	49	25	10	24	Premium	Monthly	865	23	1
453	53	Male	30	24	4	24	Premium	Quarterly	346	29	0
454	38	Male	31	9	3	5	Standard	Monthly	158	10	0
455	44	Female	1	25	6	2	Premium	Monthly	474	2	0
456	51	Female	2	24	4	28	Standard	Quarterly	846	28	0
457	30	Male	53	7	9	20	Standard	Annual	307	8	1
458	22	Male	52	9	5	8	Premium	Annual	788	19	0
459	33	Female	55	15	8	30	Basic	Annual	611	16	1
460	24	Female	1	16	10	11	Basic	Monthly	583	20	0
461	46	Male	30	29	5	10	Premium	Annual	447	30	0
462	55	Male	1	9	9	17	Premium	Annual	337	30	0
